Datetime,Open,High,Low,Close,Volume
2024-05-31 11:45:00-04:00,519.87,520.06,519.87,520.05,26752.0
2024-05-31 11:45:00-04:00,519.87,520.06,519.87,520.05,26752.0
2024-05-31 11:46:00-04:00,520.05,520.16,520.04,520.08,43007.0
2024-05-31 11:46:00-04:00,520.05,520.16,520.04,520.08,43007.0
2024-05-31 11:47:00-04:00,520.09,520.11,519.97,520.0,42286.0
2024-05-31 11:47:00-04:00,520.09,520.11,519.97,520.0,42286.0
2024-05-31 11:48:00-04:00,520.0,520.09,519.95,520.0,28966.0
2024-05-31 11:48:00-04:00,520.0,520.09,519.95,520.0,28966.0
2024-05-31 11:49:00-04:00,519.99,520.03,519.93,519.94,25843.0
2024-05-31 11:49:00-04:00,519.99,520.03,519.93,519.94,25843.0
2024-05-31 11:50:00-04:00,519.95,520.11,519.89,519.94,41593.0
2024-05-31 11:50:00-04:00,519.95,520.11,519.89,519.94,41593.0
2024-05-31 11:51:00-04:00,519.92,519.97,519.82,519.9,52049.0
2024-05-31 11:51:00-04:00,519.92,519.97,519.82,519.9,52049.0
2024-05-31 11:52:00-04:00,519.88,519.89,519.79,519.86,52397.0
2024-05-31 11:52:00-04:00,519.88,519.89,519.79,519.86,52397.0
2024-05-31 11:53:00-04:00,519.87,519.9,519.76,519.87,71827.0
2024-05-31 11:53:00-04:00,519.87,519.9,519.76,519.87,71827.0
2024-05-31 11:54:00-04:00,519.89,519.89,519.7,519.71,79965.0
2024-05-31 11:54:00-04:00,519.89,519.89,519.7,519.71,79965.0
2024-05-31 11:55:00-04:00,519.71,519.8,519.58,519.66,150439.0
2024-05-31 11:55:00-04:00,519.71,519.8,519.58,519.66,150439.0
2024-05-31 11:56:00-04:00,519.65,519.68,519.58,519.62,97419.0
2024-05-31 11:56:00-04:00,519.65,519.68,519.58,519.62,97419.0
2024-05-31 11:57:00-04:00,519.62,519.78,519.62,519.67,76253.0
2024-05-31 11:57:00-04:00,519.62,519.78,519.62,519.67,76253.0
2024-05-31 11:58:00-04:00,519.67,519.72,519.58,519.64,45928.0
2024-05-31 11:58:00-04:00,519.67,519.72,519.58,519.64,45928.0
2024-05-31 11:59:00-04:00,519.63,519.75,519.61,519.69,86730.0
2024-05-31 11:59:00-04:00,519.63,519.75,519.61,519.69,86730.0
2024-05-31 12:00:00-04:00,519.69,519.78,519.44,519.78,193074.0
2024-05-31 12:00:00-04:00,519.69,519.78,519.44,519.78,193074.0
2024-05-31 12:01:00-04:00,519.78,519.79,519.54,519.55,75196.0
2024-05-31 12:01:00-04:00,519.78,519.79,519.54,519.55,75196.0
2024-05-31 12:02:00-04:00,519.53,519.59,519.45,519.47,84256.0
2024-05-31 12:02:00-04:00,519.53,519.59,519.45,519.47,84256.0
2024-05-31 12:03:00-04:00,519.46,519.54,519.37,519.42,73864.0
2024-05-31 12:03:00-04:00,519.46,519.54,519.37,519.42,73864.0
2024-05-31 12:04:00-04:00,519.42,519.45,519.25,519.41,104854.0
2024-05-31 12:04:00-04:00,519.42,519.45,519.25,519.41,104854.0
2024-05-31 12:05:00-04:00,519.42,519.5,519.41,519.46,75381.0
2024-05-31 12:05:00-04:00,519.42,519.5,519.41,519.46,75381.0
2024-05-31 12:06:00-04:00,519.45,519.47,519.27,519.33,61652.0
2024-05-31 12:06:00-04:00,519.45,519.47,519.27,519.33,61652.0
2024-05-31 12:07:00-04:00,519.33,519.44,519.32,519.35,45604.0
2024-05-31 12:07:00-04:00,519.33,519.44,519.32,519.35,45604.0
2024-05-31 12:08:00-04:00,519.36,519.4,519.25,519.34,53378.0
2024-05-31 12:08:00-04:00,519.36,519.4,519.25,519.34,53378.0
2024-05-31 12:09:00-04:00,519.3,519.44,519.29,519.32,83374.0
2024-05-31 12:09:00-04:00,519.3,519.44,519.29,519.32,83374.0
2024-05-31 12:10:00-04:00,519.32,519.35,519.24,519.31,42288.0
2024-05-31 12:10:00-04:00,519.32,519.35,519.24,519.31,42288.0
2024-05-31 12:11:00-04:00,519.31,519.42,519.21,519.23,78951.0
2024-05-31 12:11:00-04:00,519.31,519.42,519.21,519.23,78951.0
2024-05-31 12:12:00-04:00,519.21,519.25,519.06,519.2,64391.0
2024-05-31 12:12:00-04:00,519.21,519.25,519.06,519.2,64391.0
2024-05-31 12:13:00-04:00,519.21,519.24,519.09,519.2,97039.0
2024-05-31 12:13:00-04:00,519.21,519.24,519.09,519.2,97039.0
2024-05-31 12:14:00-04:00,519.21,519.25,519.05,519.05,56368.0
2024-05-31 12:14:00-04:00,519.21,519.25,519.05,519.05,56368.0
2024-05-31 12:15:00-04:00,519.08,519.13,519.03,519.09,50851.0
2024-05-31 12:15:00-04:00,519.08,519.13,519.03,519.09,50851.0
2024-05-31 12:16:00-04:00,519.09,519.11,518.79,518.81,133997.0
2024-05-31 12:16:00-04:00,519.09,519.11,518.79,518.81,133997.0
2024-05-31 12:17:00-04:00,518.81,518.98,518.72,518.83,109336.0
2024-05-31 12:17:00-04:00,518.81,518.98,518.72,518.83,109336.0
2024-05-31 12:18:00-04:00,518.83,518.83,518.71,518.75,68055.0
2024-05-31 12:18:00-04:00,518.83,518.83,518.71,518.75,68055.0
2024-05-31 12:19:00-04:00,518.73,518.88,518.71,518.79,104263.0
