,Open,High,Low,Close,Volume
2024-06-21 12:21:00,545.45,545.51,545.414,545.44,19072.0
2024-06-21 12:20:00,545.46,545.46,545.41,545.45,26812.0
2024-06-21 12:19:00,545.48,545.54,545.4,545.46,27957.0
2024-06-21 12:18:00,545.41,545.46,545.37,545.46,17311.0
2024-06-21 12:17:00,545.42,545.48,545.36,545.41,41924.0
2024-06-21 12:16:00,545.22,545.415,545.21,545.41,33462.0
2024-06-21 12:15:00,545.18,545.26,545.16,545.21,24937.0
2024-06-21 12:14:00,545.31,545.32,545.2,545.21,27804.0
2024-06-21 12:13:00,545.36,545.365,545.27,545.31,23245.0
2024-06-21 12:12:00,545.395,545.395,545.32,545.365,18221.0
2024-06-21 12:11:00,545.41,545.42,545.32,545.395,33915.0
2024-06-21 12:10:00,545.225,545.42,545.21,545.4,41041.0
2024-06-21 12:09:00,545.347,545.347,545.17,545.225,50867.0
2024-06-21 12:08:00,545.395,545.445,545.34,545.365,33423.0
2024-06-21 12:07:00,545.5,545.52,545.35,545.41,55595.0
2024-06-21 12:06:00,545.54,545.575,545.501,545.515,610595.0
2024-06-21 12:05:00,545.595,545.65,545.49,545.53,58290.0
2024-06-21 12:04:00,545.465,545.62,545.43,545.59,42869.0
2024-06-21 12:03:00,545.37,545.52,545.32,545.46,50017.0
2024-06-21 12:02:00,545.355,545.48,545.34,545.377,32891.0
2024-06-21 12:01:00,545.42,545.47,545.325,545.36,612125.0
2024-06-21 12:00:00,545.55,545.649,545.37,545.4,78087.0
2024-06-21 11:59:00,545.405,545.54,545.37,545.52,180020.0
2024-06-21 11:58:00,545.345,545.44,545.31,545.42,45755.0
2024-06-21 11:57:00,545.24,545.35,545.23,545.34,45239.0
2024-06-21 11:56:00,545.33,545.33,545.18,545.24,84926.0
2024-06-21 11:55:00,545.4,545.4,545.285,545.32,60462.0
2024-06-21 11:54:00,545.28,545.42,545.28,545.4,60100.0
2024-06-21 11:53:00,545.22,545.34,545.22,545.29,44963.0
2024-06-21 11:52:00,545.29,545.3,545.14,545.2,56612.0
2024-06-21 11:51:00,545.235,545.345,545.165,545.29,51949.0
